id_data,id_transaksi,item,tanggal
47,T00027,TARIKAN G/K,1/2/2018
48,T00027,EMPENG PIGEON,1/2/2018
49,T00027,SISIR MAMIMU,1/2/2018
50,T00028,SEPATU LB TALI,1/2/2018
51,T00028,SINGLET LISA 22,1/2/2018
52,T00028,BREAST MILK LITTLE BABY,1/2/2018
53,T00028,CL PJG CHUBIE 3-6,1/2/2018
54,T00028,BJ PJG CHUBIE 3-6,1/2/2018
55,T00029,BJ PDK CHUBIE 3-6,1/2/2018
56,T00029,SINGLET FINKA TUA,1/2/2018
57,T00029,CL DALAM CWE L,1/2/2018
58,T00029,KTNG ASI GABAG 100ML,1/2/2018
59,T00030,TEMPAT BEDAK SINGLE,1/2/2018
60,T00030,TEMPAT BEDAK DOUBLE,1/2/2018
61,T00031,COTTON SWAB 100'S,1/2/2018
62,T00031,BREAST PADS HC 36PCS,1/2/2018
63,T00032,BTL PP 120ML STD MM,1/2/2018
64,T00033,TEETHER IQ BABY,1/2/2018
65,T00033,3 HEADWRAPS,1/2/2018
66,T00033,TOPI SET MAMIMU,1/2/2018
67,T00034,TAMAN,1/2/2018
68,T00034,TOPI YIDING,1/2/2018
69,T00034,BOTOL SUSU KACA,1/2/2018
70,T00035,TL 3651,1/2/2018
71,T00035,KOJONG KECIL GAMBAR,1/2/2018
72,T00036,SELIMUT CARTER,1/2/2018
73,T00036,JACKET PUPUKU,1/2/2018
74,T00037,BANTAL BLUDRU IN4,1/2/2018
75,T00037,BEBEK ISI 8,1/2/2018
76,T00038,BAJU NECI 3-6 POLOS,1/2/2018
77,T00038,TRAINING TOOTHBRUSH,2/1/2018
78,T00039,FEEDING SET S,1/3/2018
79,T00039,ST KT BTG CL POP NB,1/3/2018
80,T00039,SINGLET NB VELVET JUNIOR,1/3/2018
81,T00039,GENDONGAN HIPSEAT 6 POSISI,1/3/2018
82,T00040,BABY SET 148,1/3/2018
83,T00040,EMPENG PIGEON,1/3/2018
84,T00041,ST VELVET PD SML OB,1/3/2018
85,T00042,CL KOTAK BLESSING SML,1/3/2018
86,T00042,CL DALAM CWE L,1/3/2018
87,T00043,SINGLET OBL PRINT NB,1/3/2018
88,T00043,TOPI LITTLE LEE,1/3/2018
89,T00043,KK PINGO BONEKA,1/3/2018
90,T00043,SARUNG TANGAN BABY YO,1/3/2018
91,T00044,PIGEON SILICON NIPPLE S,1/3/2018
92,T00044,STK RUBY MOTIF,1/3/2018
93,T00045,STK MAMIMU,1/3/2018
94,T00045,LEGGING PLATINUM,1/3/2018
95,T00045,KK WINTEKU,1/3/2018
96,T00045,KRINCINGAN MADU & KUPU,1/3/2018
97,T00045,KRINCINGAN BOLA,1/3/2018
98,T00046,BT 56656,1/3/2018
99,T00046,ST PIYAMA 6-10,1/3/2018
100,T00046,BOTOL SUSU KACA,1/3/2018
101,T00046,DRES 1931,1/3/2018
102,T00047,RINGTOY H.KITTY/8608,1/3/2018
103,T00047,KUPLUK CHIBON,1/3/2018
104,T00048,DASTER DEWASA 45K,1/3/2018
105,T00048,DRES 312A/313,1/3/2018
106,T00048,DRES 210/216A,1/3/2018
107,T00048,CELANA PANJANG TC M,1/3/2018
108,T00049,JUMBO POLIE WARNA SOFT,1/3/2018
109,T00049,BH MENYUSUI + BUSA,1/3/2018
110,T00049,BEDONG WARNA SOFT ,1/3/2018
111,T00049,BEDONG WARNA SOFT,1/3/2018
112,T00050,GAMIS UK A-C,1/3/2018
113,T00050,PUMPING CROWN ELECT,1/3/2018
114,T00051,STYLE F8806,1/3/2018
115,T00051,MINYAK KAYU PUTIH CAPLANG,1/3/2018
116,T00052,APRON DOLPIN,1/3/2018
117,T00052,LIQ CLEAN 700ML DOY,1/3/2018
118,T00053,TOPI PUPPY,1/3/2018
119,T00054,BABY SOCKS,1/5/2018
120,T00055,DRES PITA GARIS,1/5/2018
121,T00056,KK BONEKA PICHU,1/5/2018
122,T00057,HANDUK GULL B,1/5/2018
123,T00057,ST D'NORFA PD PTH,1/5/2018
124,T00058,LEGGING MOTIP SERI TK,1/5/2018
125,T00058,ST VELVET PD SML OB,1/5/2018
126,T00059,ST CARE  BUNTUNG M.L,1/5/2018
127,T00059,ST OBL VELVET LB PJG,1/5/2018
128,T00059,KK PINGO BONEKA,1/5/2018
129,T00060,KEMEJA ANAK UK 4-6,1/5/2018
130,T00060,DRES 4752,1/5/2018
131,T00060,TEETHER 9966,1/5/2018
132,T00061,COMBO LCR 450ML,1/5/2018
133,T00061,BTL PP 50ML GAMBAR ANIMAL,1/5/2018
134,T00061,POPOK KATUN 1/2LSN,1/5/2018
135,T00062,KK KANDILA,1/5/2018
136,T00062,MINYAK TELON PLUS MY 150ML,1/5/2018
137,T00063,BANDANA BAOBEI,1/5/2018
138,T00063,GEOS SAMPING ISTA BABY SGO,1/5/2018
139,T00063,TAS BAYU SEDANG BESAR,1/5/2018
140,T00063,PUMPING CROWN ELECT,1/5/2018
141,T00064,GDP SCOT POLOS,1/6/2018
142,T00064,BABY SOCKS,1/6/2018
143,T00065,CELANA ANAK CEWEK 165K,1/6/2018
144,T00065,WASHLAP BABY YO,1/6/2018
145,T00066,ST KT BTG CL POP NB,1/6/2018
146,T00066,SINGLET M VELVET JUNIOR,1/6/2018
147,T00067,GDS DOTY,1/6/2018
148,T00068,ST VELVET PD SML OB,1/6/2018
149,T00068,CL POP BTB,1/6/2018
150,T00069,ST VELVET PD MB,1/6/2018
151,T00069,KASUR CHEKIDO BESAR,1/6/2018
152,T00069,TOPI LITTLE LEE,1/6/2018
153,T00070,STELAN UNO PJG,1/6/2018
154,T00070,SINGLET SAILOR 14,1/6/2018
155,T00070,SENDAL ANAK 35K,1/6/2018
156,T00070,AYUNAN PER 1,1/6/2018
157,T00071,ATS 2012,1/6/2018
158,T00071,STK RUBY MOTIF,1/6/2018
159,T00072,STK MAMIMU,1/6/2018
160,T00073,SEPATU LC,1/6/2018
161,T00074,LEGGING PLATINUM,1/6/2018
162,T00074,KK WINTEKU,1/6/2018
163,T00075,LEGO TRANSFORMER,1/6/2018
164,T00075,KRINCINGAN MADU & KUPU,1/6/2018
165,T00075,SWITER NEXT K,1/6/2018
166,T00075,LEGGING CATTON DICH,1/6/2018
167,T00076,HANDUK TWIN BESAR,1/6/2018
168,T00076,CELANA PENDEK POLOS L ,1/6/2018
169,T00076,BANTAL GAMBAR SET,1/6/2018
170,T00076,BAK MANDI BABY,1/6/2018
171,T00077,BAJU RIB POLOS PENDEK,1/6/2018
172,T00077,BAJU UINO BTG,1/6/2018
173,T00077,MY BABY MINYAK TELON PLUS 60ML,1/6/2018
174,T00077,MAINCURE SET LITTLE BABY ,1/6/2018
175,T00077, BABY OIL 50 ML,1/6/2018
176,T00078,AT 2660/26385/16803/16819,1/7/2018
177,T00078,GULING DORAEMON XL,1/7/2018
178,T00078,SEPATU LB TALI,1/7/2018
179,T00078,SELIMUT TOPI POLOS,1/7/2018
180,T00078,SEPATU LITTLE LEE,1/7/2018
181,T00078,TAS MINI MOM BABY,1/7/2018
182,T00078,GDP SNOBBY  TPG 1147,1/7/2018
183,T00078,ST VELVET PD OBL L,1/7/2018
184,T00078,ST VELVET PD SML OB,1/7/2018
185,T00079,SARUNG TANGAN BABY YO,1/7/2018
186,T00079,SEPATU BULU MIKA,1/7/2018
187,T00079,BABY SET 168,1/7/2018
188,T00080,DRES B1520,1/7/2018
189,T00080,PIGEON BTL K,1/7/2018
190,T00080,KK KANDILA,1/7/2018
191,T00081,BIB  HOKINA,1/7/2018
192,T00082,KRINCINGAN JALA 1PC,1/7/2018
193,T00083,JAC SS1550,1/7/2018
194,T00084,TOPI YIDING,1/7/2018
195,T00084,ST PIYAMA 1-3,1/7/2018
196,T00085,BOTOL SUSU KACA,1/7/2018
197,T00085,TL-3646,1/7/2018
198,T00085,KK JESSIBEE,1/7/2018
199,T00085,K816,1/7/2018
200,T00085,JACKET TRUTLE,1/7/2018
201,T00085,FEEDING SET M,1/7/2018
202,T00085,CELANA PENDEK POLOS L ,1/7/2018
203,T00086,POPOK HANDUK,1/7/2018
204,T00086,BABY SET 161,1/7/2018
205,T00086,OBLONG YUKENSI POLOS L,1/7/2018
206,T00086,JUMPSUIT JAS,1/7/2018
207,T00086,DRES OSB,1/7/2018
208,T00086,FEEDING SET B2 ISI 7PC,1/7/2018
209,T00086,GT 75084,1/7/2018
210,T00087,DRES PITA 2,1/8/2018
211,T00087,TEETHER RELIABLE WATER FILED,1/8/2018
212,T00087,KANTONG ASI GABAG 180ML,1/8/2018
213,T00088,SUGAR BABY 10 IN 1,1/8/2018
214,T00088,BABY SET 135,1/8/2018
215,T00088,KK OKEBOO,1/8/2018
216,T00088,GEND OKIYO G-787,1/8/2018
217,T00089,B/W 2068,1/8/2018
218,T00089,B/W FC8288,1/8/2018
219,T00090,AT 96908,1/8/2018
220,T00090,PIGEON BOTOL PP WIDE NECK 160ML,1/8/2018
221,T00090,COLOGNE 50ML SOFT&TOUCH,1/8/2018
222,T00091,DRES BEBEK,1/9/2018
223,T00091,ST KT PJG NB,1/9/2018
224,T00091,ST KT PJG S.M.L,1/9/2018
225,T00091,ST KP PJG M.L,1/9/2018
226,T00091,GENDONGAN HIPSEAT 6 POSISI,1/9/2018
227,T00091,CLN PDK TAKATU S-L,1/9/2018
228,T00091,GIGITAN RE-RE,1/9/2018
229,T00091,ST ARUCHI PD XL,1/9/2018
230,T00091,ST VELVET PJG NB,1/9/2018
231,T00091,TEMPAT BEDAK SINGLE,1/9/2018
232,T00091,SEPATU BONEKA OKYO,1/9/2018
233,T00092,SINGLET POLOS 20,1/9/2018
234,T00092,PIGEON SILICON NIPPLE S,1/9/2018
235,T00093,SEPATU MIKA,1/9/2018
236,T00093,ROL COASTER CARS,1/9/2018
237,T00094,LEGO TRANSFORMER,1/9/2018
238,T00094,TEETHER YUKI,1/9/2018
239,T00094,PARSEL MAKAN 20K,1/9/2018
240,T00094,TOPI MINNIE,1/9/2018
241,T00094,TOPI YIDING,1/9/2018
242,T00095,DRES 1931,1/9/2018
243,T00095,FEEDING SET XL BUNNY,1/9/2018
244,T00095,KK JESSIBEE,1/9/2018
245,T00095,HANDUK PIYO FULL PRINT,1/9/2018
246,T00095,ST PD 509B/510B,1/9/2018
247,T00096,ROK 110K,1/9/2018
248,T00096,MANICURE SET LITTLE BABY,1/9/2018
249,T00096,FEEDING SET L SOFT,1/9/2018
250,T00096,PIGEON PERISTALTIC S 3PCS,1/9/2018
251,T00097,STELAN YIKA M21025,1/10/2018
252,T00097,SEPATU LITTLE LEE,1/10/2018
253,T00097,PERLAK BOBOKO TGG,1/10/2018
254,T00098,BEDONG TITA KU 110x90,1/10/2018
255,T00098,GIGITAN RE-RE,1/10/2018
256,T00098,KK BONEKA PICHU,1/10/2018
257,T00098,ST VELVET PD OBL XL,1/10/2018
258,T00099,POPOK CT B,1/10/2018
259,T00099,CELANA PJG LUKI BK,1/10/2018
260,T00099,ST VELVET PD KD L,1/10/2018
261,T00099,KTNG ASI GABAG 100ML,1/10/2018
262,T00100,BREAST PUMP LB,1/10/2018
263,T00100,SARUNG TANGAN BABY YO,1/10/2018
264,T00101,SEPATU BONEKA OKYO,1/10/2018
265,T00102,BREAST PUMP REG DODO,1/10/2018
266,T00102,WIPES HAND&MOUNTH 60'S,1/10/2018
267,T00102,KK KANDILA,1/10/2018
268,T00102,STK MAMIMU,1/10/2018
269,T00102,BOTOL SUSU KACA,1/10/2018
270,T00103,GUNTING KUKU PUMPEE,1/10/2018
271,T00103,BLOCKKTG EMBER 103PCS/3603,1/10/2018
272,T00103,TOLOCAR 601,1/10/2018
273,T00103,JAKET DENIM 210K,1/10/2018
274,T00103,DV 00 POLOS,1/10/2018
275,T00103,HANDUK TWIN KECIL,1/10/2018
276,T00103,GEOS SIMPLE SLING,1/10/2018
277,T00103,DASTER DEWASA 45K,1/10/2018
278,T00104,CROWN 4 IN 1,1/10/2018
279,T00104,TAS BAYI SEDANG BEAR,1/10/2018
280,T00105,GURITA IBU,1/10/2018
281,T00105,BANTAL GAMBAR SET,1/10/2018
282,T00106,BAJU POLIPOLOS PDK,1/10/2018
283,T00106,NIPPLE SHIELD LITTLE BABY,1/10/2018
284,T00106,FEEDING SET L SOFT,1/10/2018
285,T00106,CELANA ANAK 65K,1/10/2018
286,T00107,ATASAN YIKA M9080/4167/81,1/11/2018
287,T00107,BABY SET 160,1/11/2018
288,T00107,KANTONG ASI GABAG 180ML,1/11/2018
289,T00108,PERLAK BOBOKO TGG,1/11/2018
290,T00108,ST VELVET PD SML OB,1/11/2018
291,T00108,ST D'NORFA PJG,1/11/2018
292,T00108,TOPI LITTLE LEE,1/11/2018
293,T00109,KK PINGO BONEKA,1/11/2018
294,T00109,SEPATU SKIDDERS,1/11/2018
295,T00109,AYUNAN PER 1,1/11/2018
296,T00109,YY 213-4,1/11/2018
297,T00109,FEEDING SET XL BUNNY,1/11/2018
298,T00110,ST PP 571B/728B,1/11/2018
299,T00110,ST PP 513A/588A,1/11/2018
300,T00110,ATTOON FOOD FEEDER,1/11/2018
301,T00111,KAIN PJG PRESIDENT,1/12/2018
302,T00111,KELAMBU TIFA K,1/12/2018
303,T00111,SLIM QUEEN,1/12/2018
304,T00111,KK RENDA 1-3,1/12/2018
305,T00111,BEDONG BABYQU PRINT,1/12/2018
306,T00111,SEPATU LITTLE LEE,1/12/2018
307,T00111,HANDUK HIMAWARI,1/12/2018
308,T00111,SELIMUT CARTER TOPI PRINT,1/12/2018
309,T00112,TOPI LITTLE LEE,1/12/2018
310,T00112,KTNG ASI GABAG 100ML,1/12/2018
311,T00112,PERLAK TANGGUNG,1/12/2018
312,T00112,BTL PP 120ML STD MM,1/12/2018
313,T00112,STK MAMIMU,1/12/2018
314,T00113,3 HEADWRAPS,1/12/2018
315,T00113,KK WINTEKU,1/12/2018
316,T00113,BOTOL SUSU KACA,1/12/2018
317,T00113,TAS COOLER DIALOGUE,1/12/2018
318,T00113,KAOS KAKI + BANDO RAJUT,1/12/2018
319,T00113,KASUR LIPAT,1/12/2018
320,T00113,KK JESSIBEE,1/12/2018
321,T00113,KK OKEBOO,1/12/2018
322,T00113,BANTAL KEPALA BEAR N2X4,1/12/2018
323,T00113,GAMIS IMPOR UK 10-12,1/12/2018
324,T00114,GENDONG SAMPING ISTA BABY SGO,1/12/2018
325,T00114,CELANA PANJANG TC M,1/12/2018
326,T00114,CELANA POP POLOS XL,1/12/2018
327,T00114,SKIDDERS BONEKA,1/12/2018
328,T00114,GURITA IBU,1/12/2018
329,T00114,OBLONG YUKENSI POLOS L,1/12/2018
330,T00114,BABYELLE ELECTRIC SWING,1/12/2018
331,T00114,MINYAK KAYU PUTIH CAP LANG ,1/12/2018
332,T00115,DRES ZIA 9/12,1/13/2018
333,T00115,ST 9011/Q811,1/13/2018
334,T00115,GULING CHARACTER TSK,1/13/2018
335,T00115,CLN PDK TAKATU S-L,1/13/2018
336,T00116,HANDUK IMPORT K,1/13/2018
337,T00116,TOPI SET BOBOKO,1/13/2018
338,T00116,KK PINGOO BONEKA 3,1/13/2018
339,T00116,KANTONG ASI GABAG 180ML,1/13/2018
340,T00116,KK BONEKA PICHU,1/13/2018
341,T00117,HANDUK BAYI DIXON S,1/13/2018
342,T00117,TAS SCOT SABLON B,1/13/2018
343,T00118,GURITA DODORA,1/13/2018
344,T00118,CL POP BTB,1/13/2018
345,T00118,ST VELVET PD NB,1/13/2018
346,T00118,TOPI LITTLE LEE,1/13/2018
347,T00118,DRES 4648,1/13/2018
348,T00119,FEEDING SET PIGEON 2,1/13/2018
349,T00120,BREAST PUMP ELEC,1/13/2018
350,T00120,PORTABLE,1/13/2018
351,T00120,STK MAMIMU,1/13/2018
352,T00120,KK MITI RENDA,1/13/2018
353,T00120,BARBIE AY3+,1/13/2018
354,T00120,MICKEY CLUB HOUSE,1/13/2018
355,T00120,TOBOT MINI C,1/13/2018
356,T00120,DOCTOR PLAY SET,1/13/2018
357,T00121,KRINCINGAN MADU & KUPU,1/13/2018
358,T00121,KRINCINGAN 2 BOLA M,1/13/2018
359,T00121,MOBIL SSK,1/13/2018
360,T00121,AT TRS-SK02,1/13/2018
361,T00122,DR173433,1/13/2018
362,T00122,DRES M591 5/8,1/13/2018
363,T00122,DRES M9213 1/4,1/13/2018
364,T00122,TOPI BURBERRY,1/13/2018
365,T00122,ST PIYAMA L-XXL,1/13/2018
366,T00123,ATSAN 185,1/13/2018
367,T00124,PELINDUNG MATA,1/13/2018
368,T00125,HANDUK TWIN WARNA KECIL,1/13/2018
369,T00125,KEMEJA CHIVA,1/13/2018
370,T00125,DR 8101,1/13/2018
371,T00125,TAS BAYI SEDANG BEAR,1/13/2018
372,T00125,JUMPSUITS CARTER,1/13/2018
373,T00125,BR RK BY POLOS,1/13/2018
374,T00125,GAMIS UK A-C,1/13/2018
375,T00125,CUSSONS BABY GIFT BOX,1/13/2018
376,T00126,PIGEON TOOTHPASTE,1/13/2018
377,T00126,PIGEON PERISTALTIC S 3PCS,1/13/2018
378,T00126,PUMPING CROWN ELECT,1/13/2018
379,T00126,TRAINING TOOTHBRUSH,1/13/2018
380,T00127,B CEW/COW M,1/14/2018
381,T00128,ST SGLT CL 3/4 SML PLAYTIME,1/14/2018
382,T00128,ST KP PDK M.L,1/14/2018
383,T00128,SINGLET M VELVET JUNIOR,1/14/2018
384,T00128,KANTONG ASI GABAG 180ML,1/14/2018
385,T00128,BEBIKU CDL109,1/14/2018
386,T00128,BJ ZAHDAN BTG PRINT,1/14/2018
387,T00128,GIGITAN RE-RE,1/14/2018
388,T00128,SINGLET VILERY COW 16,1/14/2018
389,T00128,CL POP BTB,1/14/2018
390,T00128,ST VELVET PD NB,1/14/2018
391,T00128,ST CARE  PANJANG NB,1/14/2018
392,T00128,KK PINGO BONEKA,1/14/2018
393,T00129,KTNG ASI GABAG 100ML,1/14/2018
394,T00129,BH 33219,1/14/2018
395,T00129,BABY WASH 100ML,1/14/2018
396,T00129,PAPER BAG SEDANG,1/14/2018
397,T00130,STK MAMIMU,1/14/2018
398,T00130,SEPATU LC,1/14/2018
399,T00130,MUNDO UNDERWEAR,1/14/2018
400,T00130,KK TT37301,1/14/2018
401,T00130,CD PRITALY UNDERWEAR L,1/14/2018
402,T00131,KEMEJA CHIVA,1/14/2018
403,T00131,CD COREX 2,1/14/2018
404,T00131,CD COREX 1,1/14/2018
405,T00131,BH SOREX 1,1/14/2018
406,T00131,BH SOREX 3,1/14/2018
407,T00131,BH SOREX 2,1/14/2018
408,T00132,GAMIS UK A-C,1/14/2018
409,T00132,PIGEON BABY POWDER,1/14/2018
410,T00132,BOUNCER SUGAR BABY R1,1/15/2018
411,T00133,KOLAM #57107NP,1/15/2018
412,T00133,BJ CILAPOP BTG NB,1/15/2018
413,T00133,SEPATU LITTLE LEE,1/15/2018
414,T00133,KK CARTER 0-12 M,1/15/2018
415,T00133,KASUR CHEKIDO SET,1/15/2018
416,T00133,ST VELVET PD SML OB,1/15/2018
417,T00133,POPOK CT B,1/15/2018
418,T00133,RANTAI EMPENG,1/15/2018
419,T00133,STERILIZER CROWN 3,1/15/2018
420,T00134,BREAST PUMP REG DODO,1/15/2018
421,T00134,POPOK DOUBLE,1/15/2018
422,T00134,STK MAMIMU,1/15/2018
423,T00134,KK WINTEKU,1/15/2018
424,T00134,MP 999-4,1/15/2018
425,T00134,TOBOT MINI C,1/15/2018
426,T00135,TEETHER YUKI,1/15/2018
427,T00135,TL 3650,1/15/2018
428,T00135,GUNTING KUKU,1/15/2018
429,T00135,FEEDING SET XL BUNNY,1/15/2018
430,T00135,BLOCK TAS/EN71,1/15/2018
431,T00135,KOJONG BESAR GAMBAR,1/15/2018
432,T00135,MOBIL ACCU 6800,1/15/2018
433,T00135,JUMPER ANAK 110K,1/15/2018
434,T00135,KK JESSIBEE,1/15/2018
435,T00135,DR-99837,1/15/2018
436,T00135,CUSSONS BABY GIFT BOX,1/15/2018
437,T00135,HANDUK TERRY 70 X,1/15/2018
438,T00135,MINYAK KAYU PUTIH CAPLANG ,1/15/2018
439,T00136,B COW/CEW XL,1/16/2018
440,T00136,BOXER COW XXL,1/16/2018
441,T00136,TANGTOP S/XXL,1/16/2018
442,T00136,ST KP PDK XXL PLAYTIME DINO,1/16/2018
443,T00136,SMART WEAR SEGI EMPAT,1/16/2018
444,T00137,HK-910,1/16/2018
445,T00137,DOCTOR SET-8103C,1/16/2018
446,T00137,KANTONG ASI GABAG 180ML,1/16/2018
447,T00138,THERMOMETER CROWN,1/16/2018
448,T00138,BABY SOCKS 1-3,1/16/2018
449,T00138,KTNG ASI GABAG 100ML,1/16/2018
450,T00138,STELAN PENDEK BI POLIE,1/16/2018
451,T00139,STELAN POLIE PDK,1/16/2018
452,T00139,STELAN POLIE BTG,1/16/2018
453,T00139,KODOK ANAK 110K,1/16/2018
454,T00139,BH 33219,1/16/2018
455,T00140,PIGEON SILICON NIPPLE S,1/16/2018
456,T00140,KK WINTEKU,1/16/2018
457,T00140,TEETHER YUKI,1/16/2018
458,T00140,F1 555,1/16/2018
459,T00140,M258,1/16/2018
460,T00140,ST PIYAMA 262,1/16/2018
461,T00141,GUNTING KUKU PUMPEE,1/16/2018
462,T00141,GUNTING KUKU,1/16/2018
463,T00141,KODOK OVER ALL 5L,1/16/2018
464,T00141,ATASAN 85K,1/16/2018
465,T00141,MITI SOCKS @2,1/16/2018
466,T00141,CELANA KORSET,1/16/2018
467,T00141,BANTAL TANGAN MENYUSUI,1/16/2018
468,T00141,BANTAL BUSUI MILLIE,1/16/2018
469,T00141,JUMPSUITS CARTER,1/16/2018
470,T00141,ATS K 92350,1/16/2018
471,T00141,FRUIT FEEDER,1/16/2018
472,T00141,MT LANG 100 ML,1/16/2018
473,T00142,EMPENG PIGEON,1/17/2018
474,T00142,BEDONG TITA KU 110x90,1/17/2018
475,T00142,MINYAK TELON PLUS MY 150ML,1/17/2018
476,T00142,BJ KODOK TOPI TK NB,1/18/2018
477,T00142,KAIN BATU,1/18/2018
478,T00143,BABY SET 148,1/18/2018
479,T00143,BTL B.KILAP,1/18/2018
480,T00143,KANTONG ASI GABAG 180ML,1/18/2018
481,T00143,HANDUK BAYI DIXON S,1/18/2018
482,T00143,TOPI BOBOKO K,1/18/2018
483,T00149,SARUNG TANGAN BABY YO,1/18/2018
484,T00149,SARUNG TANGAN OKIYO,1/18/2018
485,T00149,SEPATU SKIDDERS,1/18/2018
486,T00149,TEETHER 9966,1/18/2018
487,T00149,TOOTHPASTE 45GR,1/18/2018
488,T00149,STK RUBY POLOS,1/18/2018
489,T00149,STK MAMIMU,1/18/2018
490,T00150,KK WINTEKU,1/18/2018
491,T00150,MP 555-1-2,1/18/2018
492,T00150,BOTOL SUSU KACA,1/18/2018
493,T00150,WH-3581,1/18/2018
494,T00150,STELAN LIL STAR 3,1/18/2018
495,T00150,KK OKEBOO,1/18/2018
496,T00150,PELINDUNG MATA,1/18/2018
497,T00150,DRES CEWE 2,1/18/2018
498,T00150,CELANA PENDEK SALLOR M,1/18/2018
499,T00150,CD COREX 3,1/18/2018
500,T00150,OBLONG PANJANG,1/18/2018
501,T00150,BH MENYUSUI,1/18/2018
502,T00150,BAJU NECI 3-6 POLOS,1/18/2018
503,T00150,MINYAK TELON PLUS MY 150ML,1/18/2018
504,T00150,MANICURE SET LITTLE BABY,1/18/2018
505,T00150,FEEDING SET L SOFT,1/18/2018
506,T00150,TRAINING TOOTHBRUSH,1/18/2018
507,T00151,GDP SCOT POLOS,1/19/2018
508,T00152,ATS YIKA ,1/19/2018
509,T00153,ST H337,1/19/2018
510,T00153,BJ KODOK OBL BK NB,1/19/2018
511,T00153,BJ KODOK TOPI BK NB,1/19/2018
512,T00154,SELIMUT TOPI POLOS,1/19/2018
513,T00154,TAS MINI MOM BABY,1/19/2018
514,T00154,CELANA POP MONA,1/19/2018
515,T00154,OBL LIBBY PJG PRINT M,1/19/2018
516,T00154,STELAN UNO PJG,1/19/2018
517,T00155,SEPATU SET BANDO OKYO,1/19/2018
518,T00155,SINGLET SAILOR 22,1/19/2018
519,T00156,PIGEON SILICON NIPPLE S,1/19/2018
520,T00156,AP-333,1/19/2018
521,T00156,KUPLUK RAFDI.C,1/19/2018
522,T00156,KK OKEBOO,1/19/2018
523,T00157,GENDONGAN KIDKA DEPAN 802,1/19/2018
524,T00157,JACKET TEBAL,1/19/2018
525,T00157,BAJU RIB M,1/19/2018
526,T00158,ST KP PDK XL PLAYTIME,1/20/2018
527,T00158,ST KP PDK M.L,1/20/2018
528,T00158,ST KT PDK S.M.L,1/20/2018
529,T00158,SEPATU R&C FWA25-02,1/20/2018
530,T00158,LEGING RUBY POLOS,1/20/2018
531,T00159,STK YON YAN,1/20/2018
532,T00159,KASUR CHEKIDO SET,1/20/2018
533,T00159,THERMOMETER CROWN,1/20/2018
534,T00159,ST VELVET PD OBL XL,1/20/2018
535,T00159,SINGLET VILERY COW 22,1/20/2018
536,T00159,ST VELVET PD SML OB,1/20/2018
537,T00159,CL DALAM CWE L,1/20/2018
538,T00160,CL DALAM CWE NB,1/20/2018
539,T00160,TOPI BOBOKO B,1/20/2018
540,T00160,TOPI LITTLE LEE,1/20/2018
541,T00160,TAS SNOBBY SMB 2621,1/20/2018
542,T00160,MERRY GROUND,1/20/2018
543,T00160,SINGLET SAILOR 22,1/20/2018
